M,source_type,source_param,seed,A_optimized,A_deterministic_phase,A_random_phase_mean,A_random_phase_std,optimized_iterations,optimized_converged
4,zipf,0.2,1042,0.0,0.0,0.0,0.0,41,True
4,zipf,1.0,1050,0.006940026638944335,0.005759102034780509,0.015750676285735215,0.007077862461173747,60,False
4,zipf,2.0,1060,0.003068571932309784,0.0027402639277840095,0.012570133568662862,0.005690971879002752,60,False
4,dirichlet,0.5,2405,0.0018869723689367917,0.003280000548375979,0.007736972510412812,0.00435054496279323,60,False
4,dirichlet,2.0,2420,0.0031125206871731666,0.003734352108777402,0.010351519950150963,0.007897481947461305,60,False
4,near_uniform,0.04,3044,0.0,0.0,0.0,0.0,41,True
4,strong_skew,0.75,4115,0.003906313837892691,0.004377401400110088,0.014491878969171701,0.0033965066783062945,60,False
8,zipf,0.2,1082,0.0,0.0,0.0,0.0,41,True
8,zipf,1.0,1090,0.002023434346689364,0.00846790363045155,0.008453442179570786,0.003370719245181108,60,False
8,zipf,2.0,1100,0.0006327181571670768,0.0034305999804568623,0.005257821269047333,0.0024001463755631953,60,False
8,dirichlet,0.5,2805,0.0003911092610010423,0.001041068918926849,0.003941501187569165,0.001998670660190577,60,False
8,dirichlet,2.0,2820,0.006586101533377663,0.014244540934409772,0.010551568588376832,0.0039151482860514475,60,False
8,near_uniform,0.04,3084,0.0,0.0,0.0,0.0,41,True
8,strong_skew,0.75,4155,0.006031835265932095,0.005859375,0.005813836475954413,0.002396242270571008,60,False
16,zipf,0.2,1162,0.0,0.0,0.0,0.0,12,True
16,zipf,0.8,1168,0.00253081386514854,0.0028338128865499595,0.0034587318213832635,0.0013173325105301638,12,True
16,zipf,1.4,1174,0.0017962039250366936,0.002006862968299257,0.0026029880545980996,0.0006558012350072296,12,True
16,zipf,2.0,1180,0.0004460358985648249,0.002772876755952444,0.0011103187584775717,0.0002393831146749642,12,True
16,dirichlet,2.0,3620,0.0020569128656277033,0.0014429379549221856,0.00330981722995111,0.0004011531720686424,12,True
16,dirichlet,2.0,3637,0.001114446538829496,0.003283466544544004,0.0018024368714314625,0.0004122461864760367,12,True
16,dirichlet,5.0,3650,0.0028602150247462785,0.005028266506669289,0.003748225477842609,0.0006705615843250624,12,True
16,dirichlet,5.0,3667,0.003484820777349971,0.0035115426801066284,0.004388207809057667,0.0006560167309558571,12,True
16,near_uniform,0.02,3162,0.0,0.0,0.0,0.0,12,True
16,near_uniform,0.08,3168,0.0,0.0,0.0,0.0,12,True
16,strong_skew,0.65,4225,0.0019946186993682804,0.0032443107979738487,0.0035193908884786095,0.0007008334517617548,12,True
16,strong_skew,0.8,4240,0.0020393681364696604,0.0022817130886849044,0.002153225817449727,0.0003920632253489023,12,True
16,strong_skew,0.9,4250,0.0007470102027365724,0.001283463612385259,0.0014287681953939174,0.000530342891502755,12,True
32,zipf,0.2,1322,0.0,0.0,0.0,0.0,12,True
32,zipf,0.8,1328,0.0012090305229598098,0.003408760236925681,0.002317516481469924,0.0007743056166655713,12,True
32,zipf,1.4,1334,0.0003790836318387613,0.0013648860546408763,0.0007007651063082087,0.0001562132998108286,12,True
32,zipf,2.0,1340,7.499368917789725e-05,0.002566224632683008,0.00018199021494811655,2.3478402033544935e-05,12,True
32,dirichlet,2.0,5220,0.0003581827915023572,0.00036682213433147524,0.0005227745103527901,0.00012643560017574804,12,True
32,dirichlet,2.0,5237,0.0011983495788843736,0.001169387075312311,0.0015663236411681814,0.00020626072842535995,12,True
32,dirichlet,5.0,5250,0.0008854343977476636,0.0014239484836304243,0.00147794714858543,0.00017607973160585838,12,True
32,dirichlet,5.0,5267,0.001558620760054038,0.001666689131259026,0.0019418949909405534,0.0002682846648148197,12,True
32,near_uniform,0.02,3322,0.0,0.0,0.0,0.0,12,True
32,near_uniform,0.08,3328,0.0,0.0,0.0,0.0,12,True
32,strong_skew,0.65,4385,0.0011614102734503935,0.0017773437500000016,0.0018524697024500563,0.00031993911073296743,12,True
32,strong_skew,0.8,4400,0.0007869831729942243,0.0012499999999999998,0.0013218543219441735,0.00014941468256367163,12,True
32,strong_skew,0.9,4410,0.0004874327056832153,0.0007031250000000004,0.0006725606321304977,0.0001345783627426141,12,True
64,zipf,0.2,1642,0.0009511886441169946,0.0009457026261541882,0.000994909385232384,3.313248454768841e-05,12,True
64,zipf,0.8,1648,0.0005078279519021328,0.0019611007061029044,0.0007543489091386383,0.0002093020676664189,12,True
64,zipf,1.4,1654,0.0002996480573249472,0.0009904255340669396,0.0004732682517307441,8.550499065079959e-05,12,True
64,zipf,2.0,1660,5.8120845282904916e-05,0.002363753053354875,8.555916624951993e-05,2.4953557487156685e-05,12,True
64,dirichlet,2.0,8420,0.00032218841670393763,0.0006906367212073882,0.00047855654410477576,4.5718697856945555e-05,12,True
64,dirichlet,2.0,8437,0.0003472648361208226,0.00030948281007198256,0.0004880954400562528,5.7740226984580186e-05,12,True
64,dirichlet,5.0,8450,0.0006343563610345476,0.000812485110961093,0.0008063977759935494,8.312481954059436e-05,12,True
64,dirichlet,5.0,8467,0.0006420371238366956,0.0006642606915856247,0.0006682952040498175,5.6635012060419126e-05,12,True
64,near_uniform,0.02,3642,0.0,0.0,0.0,0.0,12,True
64,near_uniform,0.08,3648,0.0,0.0,0.0,0.0,12,True
64,strong_skew,0.65,4705,0.0007261663040524646,0.0008733931586042302,0.0008989988526421491,8.289809084331099e-05,12,True
64,strong_skew,0.8,4720,0.000492530816916558,0.0006142545291282495,0.0006562314114642701,6.821061469316262e-05,12,True
64,strong_skew,0.9,4730,0.0002917494447336895,0.0003455181726346403,0.00033987988965549404,6.003115105229203e-05,12,True
