level,model,p,p_eff,depth,n,k,d,q_L,P_group,P_fallback,P_full,C_QEC,eta,proxy_label
Level 2 code-family proxy,rep3_toy_proxy,0.001,0.001,0,3,1,3,2.9980000000000003e-06,0.82,0.45,0.81999889074,3.0,0.14137911909310344,toy/proxy
Level 2 code-family proxy,stab_5_1_3_proxy,0.001,0.001,0,5,1,3,9.980014995969455e-06,0.82,0.45,0.8199963073944514,5.0,0.10512773171723735,toy/proxy
Level 2 code-family proxy,stab_7_1_3_proxy,0.001,0.001,0,7,1,3,2.0930104915994896e-05,0.82,0.45,0.819992255861181,7.0,0.08367267916950825,toy/proxy
Level 2 code-family proxy,stab_11_1_5_proxy,0.001,0.001,0,11,1,5,1.6401276747846083e-07,0.82,0.45,0.819999939315276,11.0,0.059420285457628695,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.001,0.009955119790251765,10,7,1,3,0.0020131539692981315,0.82,0.45,0.8192551330313596,7.0,0.08359746255422036,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.001,0.029569032736914247,30,7,1,3,0.016629561610447263,0.82,0.45,0.8138470622041345,7.0,0.08304561859225862,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.001,0.0582637377768318,60,7,1,3,0.05859787154529228,0.82,0.45,0.7983187875282418,7.0,0.08146110076818794,toy/proxy
Level 2 code-family proxy,rep3_toy_proxy,0.004051282051282051,0.004051282051282051,0,3,1,3,4.910567231409835e-05,0.82,0.45,0.8199818309012438,3.0,0.14137617774159375,toy/proxy
Level 2 code-family proxy,stab_5_1_3_proxy,0.004051282051282051,0.004051282051282051,0,5,1,3,0.0001628030343372444,0.82,0.45,0.8199397628772951,5.0,0.10512048242016604,toy/proxy
Level 2 code-family proxy,stab_7_1_3_proxy,0.004051282051282051,0.004051282051282051,0,7,1,3,0.00034004427891320965,0.82,0.45,0.8198741836168021,7.0,0.08366063098130633,toy/proxy
Level 2 code-family proxy,stab_11_1_5_proxy,0.004051282051282051,0.004051282051282051,0,11,1,5,1.0707699064527176e-05,0.82,0.45,0.819996038151346,11.0,0.059420002764590286,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.004051282051282051,0.03978216352264219,10,7,1,3,0.02908258649020723,0.82,0.45,0.8092394429986233,7.0,0.08257545336720645,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.004051282051282051,0.11466158903319923,30,7,1,3,0.18713121880006955,0.82,0.45,0.7507614490439742,7.0,0.07660831112693614,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.004051282051282051,0.21617589806678006,60,7,1,3,0.46729944580966554,0.82,0.45,0.6470992050504237,7.0,0.06603053112759426,toy/proxy
Level 2 code-family proxy,rep3_toy_proxy,0.007102564102564103,0.007102564102564103,0,3,1,3,0.0001506226526745225,0.82,0.45,0.8199442696185104,3.0,0.14136970165836388,toy/proxy
Level 2 code-family proxy,stab_5_1_3_proxy,0.007102564102564103,0.007102564102564103,0,5,1,3,0.0004973362904397982,0.82,0.45,0.8198159855725372,5.0,0.10510461353494067,toy/proxy
Level 2 code-family proxy,stab_7_1_3_proxy,0.007102564102564103,0.007102564102564103,0,7,1,3,0.0010345595243004269,0.82,0.45,0.8196172129760089,7.0,0.08363440948734784,toy/proxy
Level 2 code-family proxy,stab_11_1_5_proxy,0.007102564102564103,0.007102564102564103,0,11,1,5,5.6649442467859856e-05,0.82,0.45,0.8199790397062868,11.0,0.059418770993209184,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.007102564102564103,0.06879801824877918,10,7,1,3,0.0788287386249461,0.82,0.45,0.7908333667087699,7.0,0.08069728231722141,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.007102564102564103,0.1925201853327685,30,7,1,3,0.40260479916028624,0.82,0.45,0.6710362243106941,7.0,0.06847308411333612,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.007102564102564103,0.34797634890497353,60,7,1,3,0.7627329505474014,0.82,0.45,0.5377888082974615,7.0,0.05487640900994504,toy/proxy
Level 2 code-family proxy,rep3_toy_proxy,0.010153846153846156,0.010153846153846156,0,3,1,3,0.00030720804005462005,0.82,0.45,0.8198863330251798,3.0,0.14135971259054825,toy/proxy
Level 2 code-family proxy,stab_5_1_3_proxy,0.010153846153846156,0.010153846153846156,0,5,1,3,0.0010102275804763083,0.82,0.45,0.8196262157952237,5.0,0.10508028407631073,toy/proxy
Level 2 code-family proxy,stab_7_1_3_proxy,0.010153846153846156,0.010153846153846156,0,7,1,3,0.002092938791578236,0.82,0.45,0.819225612647116,7.0,0.08359445027011388,toy/proxy
Level 2 code-family proxy,stab_11_1_5_proxy,0.010153846153846156,0.010153846153846156,0,11,1,5,0.00016250389133865006,0.82,0.45,0.8199398735602046,11.0,0.05941593286668149,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.010153846153846156,0.09702235374333468,10,7,1,3,0.1423594777444972,0.82,0.45,0.7673269932345359,7.0,0.07829867277903427,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.010153846153846156,0.2637403539768477,30,7,1,3,0.58864518677557,0.82,0.45,0.602201280893039,7.0,0.06144911029520806,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.010153846153846156,0.4579217336378625,60,7,1,3,0.9049138776490753,0.82,0.45,0.48518186526984214,7.0,0.04950835359896348,toy/proxy
Level 2 code-family proxy,rep3_toy_proxy,0.013205128205128206,0.013205128205128206,0,3,1,3,0.0005185209334277383,0.82,0.45,0.8198081472546317,3.0,0.14134623228528134,toy/proxy
