M,source_type,source_param,seed,probabilities,huffman_lengths,Lbar,support_overlap_shift,grouping_strategy,groups,payload_generation_mode,P_group_lower,P_fix_upper,P_group_sdp,P_fix_sdp,C_Huff,C_fix,M_cert,dual_feasibility_residual,primal_feasibility_residual,primal_psd_residual,certificate_gap,positive_certificate,decoding_method,result_type
4,zipf,0.8,7480,0.43113301;0.24762089;0.17902524;0.14222085,1;2;3;3,1.8901130872330654,0,random,"0,2|1,3",optimized,0.9665407024761055,0.8657068317308632,0.9665411887549609,0.8656970169390812,2.8901130872330656,2,-0.09842335264550012,0.0,5.151545331436609e-15,0.0,3.234989241185371e-05,False,exact_sdp,exact
4,zipf,0.8,7480,0.43113301;0.24762089;0.17902524;0.14222085,1;2;3;3,1.8901130872330654,0,overlap_aware,"0|1,2,3",optimized,0.9394537110202047,0.8657068317308632,0.9394551338815718,0.8656970169390812,2.8901130872330656,2,-0.10779564730606417,0.0,3.030731744170894e-15,0.0,2.2475306297953246e-05,False,exact_sdp,exact
4,zipf,0.8,7480,0.43113301;0.24762089;0.17902524;0.14222085,1;2;3;3,1.8901130872330654,1,random,"0,2|1,3",optimized,0.999999961437666,0.9797418708325616,1.0,0.979732210285715,2.8901130872330656,2,-0.14386372695958843,0.0,3.6094372336646315e-15,0.0,3.1424733484719525e-05,False,exact_sdp,exact
4,zipf,0.8,7480,0.43113301;0.24762089;0.17902524;0.14222085,1;2;3;3,1.8901130872330654,1,overlap_aware,"0|1,2,3",optimized,0.9999968947792889,0.9797418708325616,1.0,0.979732210285715,2.8901130872330656,2,-0.1438647880455337,0.0,3.6094372336646315e-15,0.0,2.6412751994109307e-05,False,exact_sdp,exact
4,zipf,0.8,7511,0.43113301;0.24762089;0.17902524;0.14222085,1;2;3;3,1.8901130872330654,0,random,"2,3|0,1",optimized,0.9999962968217923,0.8917790149843968,1.0,0.8917674135210534,2.8901130872330656,2,-0.09988356701906348,0.0,2.9983290780009962e-15,0.0,5.8119689143154574e-05,False,exact_sdp,exact
4,zipf,0.8,7511,0.43113301;0.24762089;0.17902524;0.14222085,1;2;3;3,1.8901130872330654,0,overlap_aware,"0|1,2,3",optimized,0.9394537110202034,0.8917790149843968,0.9394551339203272,0.8917674135210534,2.8901130872330656,2,-0.12083173893283145,0.0,4.047418444143212e-15,0.0,2.6048726934679856e-05,False,exact_sdp,exact
4,zipf,0.8,7511,0.43113301;0.24762089;0.17902524;0.14222085,1;2;3;3,1.8901130872330654,1,random,"2,3|0,1",optimized,0.9797311511707042,0.9797418708325576,0.9797333404906903,0.9797322102857136,2.8901130872330656,2,-0.15087688168923985,0.0,3.4966241577179927e-15,0.0,3.396335327698896e-05,False,exact_sdp,exact
4,zipf,0.8,7511,0.43113301;0.24762089;0.17902524;0.14222085,1;2;3;3,1.8901130872330654,1,overlap_aware,"0|1,2,3",optimized,0.9999968947792901,0.9797418708325576,1.0,0.9797322102857136,2.8901130872330656,2,-0.14386478804553132,0.0,3.4966241577179927e-15,0.0,2.6412751980453564e-05,False,exact_sdp,exact
4,zipf,1.8,7580,0.6631043;0.19042671;0.091783283;0.054685711,1;2;3;3,1.4833646919639965,0,random,"1,2|0,3",optimized,0.9645894938064496,0.9384496253242726,0.9645908622956795,0.9384390882219013,2.4833646919639962,2,-0.0808044179743172,0.0,3.149515488920578e-15,0.0,2.691755227668402e-05,False,exact_sdp,exact
4,zipf,1.8,7580,0.6631043;0.19042671;0.091783283;0.054685711,1;2;3;3,1.4833646919639965,0,overlap_aware,"0|1,2,3",optimized,0.964590898153141,0.9384496253242726,0.9645910063229453,0.9384390882219013,2.4833646919639962,2,-0.08080385247272337,0.0,3.149515488920578e-15,0.0,2.129054435096034e-05,False,exact_sdp,exact
4,zipf,1.8,7580,0.6631043;0.19042671;0.091783283;0.054685711,1;2;3;3,1.4833646919639965,1,random,"1,2|0,3",optimized,0.9999991507260901,0.9810919523552711,0.9999999999999999,0.981090090266385,2.4833646919639962,2,-0.08786683929451033,0.0,3.4627169875297615e-15,0.0,8.814029500148202e-06,False,exact_sdp,exact
4,zipf,1.8,7580,0.6631043;0.19042671;0.091783283;0.054685711,1;2;3;3,1.4833646919639965,1,overlap_aware,"0|1,2,3",optimized,0.9999999717672612,0.9810919523552711,1.0,0.981090090266385,2.4833646919639962,2,-0.08786650867807944,0.0,3.4627169875297615e-15,0.0,8.187814766302814e-06,False,exact_sdp,exact
4,zipf,1.8,7611,0.6631043;0.19042671;0.091783283;0.054685711,1;2;3;3,1.4833646919639965,0,random,"0,2|1,3",optimized,0.9792737369000112,0.9384494038489802,0.979274839926501,0.9384389774802246,2.4833646919639962,2,-0.07489126388018025,0.0,4.827415436185161e-15,0.0,2.3313874949026925e-05,False,exact_sdp,exact
4,zipf,1.8,7611,0.6631043;0.19042671;0.091783283;0.054685711,1;2;3;3,1.4833646919639965,0,overlap_aware,"0|1,2,3",optimized,0.9645908981531413,0.9384494038489802,0.9645910063072265,0.9384389774802246,2.4833646919639962,2,-0.0808037417350771,0.0,4.827415436185161e-15,0.0,2.106904568199841e-05,False,exact_sdp,exact
4,zipf,1.8,7611,0.6631043;0.19042671;0.091783283;0.054685711,1;2;3;3,1.4833646919639965,1,random,"0,2|1,3",optimized,0.9999999669345115,0.9810919682389545,0.9999999999999999,0.9810900982082144,2.4833646919639962,2,-0.08786651856597028,0.0,3.614351598672507e-15,0.0,2.3383555158962288e-05,False,exact_sdp,exact
4,zipf,1.8,7611,0.6631043;0.19042671;0.091783283;0.054685711,1;2;3;3,1.4833646919639965,1,overlap_aware,"0|1,2,3",optimized,0.9999999717672612,0.9810919682389545,1.0,0.9810900982082144,2.4833646919639962,2,-0.08786651661992112,0.0,4.4966689984821574e-15,0.0,8.203698470099496e-06,False,exact_sdp,exact
