r,P_success,C_QEC,C_total,eta
1,0.9907012186394828,1.9,4.8,0.20639608721655892
2,0.9907012186394828,3.8,6.699999999999999,0.14786585352828102
3,0.9907012186394828,5.699999999999999,8.6,0.1151978161208701
4,0.9907012186394828,7.6,10.5,0.09435249701328408
5,0.9907012186394828,9.5,12.4,0.07989525956770022
6,0.9907012186394828,11.399999999999999,14.299999999999999,0.06927980549926453
7,0.9907012186394828,13.3,16.2,0.06115439621231376
8,0.9907012186394828,15.2,18.099999999999998,0.05473487395798248
9,0.9907012186394828,17.1,20.0,0.04953506093197414
10,0.9907012186394828,19.0,21.9,0.045237498568012915
