p,P_ideal,q_no,q_qec,P_no_qec,P_qec,P_full_bound
0.0,0.9942847833185422,0.0,0.0,0.9942847833185422,0.9942847833185422,0.9942847833185422
0.002,0.9942847833185422,0.002,1.1984e-05,0.9922962137519051,0.9942728678096989,0.9942788598096988
0.004,0.9942847833185422,0.004,4.7872e-05,0.9903076441852681,0.9942371849173952,0.994261120917395
0.006,0.9942847833185422,0.006,0.000107568,0.9883190746186309,0.9941778300929702,0.9942316140929701
0.008,0.9942847833185422,0.008,0.000190976,0.9863305050519938,0.9940948987877632,0.9941903867877633
0.01,0.9942847833185422,0.01,0.00029800000000000003,0.9843419354853568,0.9939884864531132,0.9941374864531132
0.012,0.9942847833185422,0.012,0.000428544,0.9823533659187197,0.9938586885403597,0.9940729605403598
0.014,0.9942847833185422,0.014,0.0005825120000000001,0.9803647963520826,0.9937056005008417,0.9939968565008417
0.016,0.9942847833185422,0.016,0.000759808,0.9783762267854456,0.9935293177858985,0.9939092217858985
0.018000000000000002,0.9942847833185422,0.018000000000000002,0.0009603360000000002,0.9763876572188084,0.9933299358468692,0.9938101038468691
0.02,0.9942847833185422,0.02,0.0011840000000000002,0.9743990876521713,0.9931075501350931,0.9936995501350931
0.022,0.9942847833185422,0.022,0.0014307039999999997,0.9724105180855342,0.9928622561019093,0.9935776081019092
0.024,0.9942847833185422,0.024,0.0017003519999999998,0.9704219485188972,0.992594149198657,0.9934443251986571
0.026000000000000002,0.9942847833185422,0.026000000000000002,0.001992848,0.9684333789522601,0.9923033248766754,0.9932997488766755
0.028,0.9942847833185422,0.028,0.0023080960000000004,0.9664448093856229,0.9919898785873038,0.9931439265873038
0.03,0.9942847833185422,0.03,0.0026460000000000003,0.9644562398189859,0.9916539057818813,0.9929769057818814
0.032,0.9942847833185422,0.032,0.003006464,0.9624676702523488,0.9912955019117472,0.9927987339117472
0.034,0.9942847833185422,0.034,0.0033893920000000006,0.9604791006857117,0.9909147624282406,0.9926094584282406
0.036000000000000004,0.9942847833185422,0.036000000000000004,0.0037946880000000005,0.9584905311190747,0.9905117827827007,0.9924091267827007
0.038,0.9942847833185422,0.038,0.004222256,0.9565019615524376,0.9900866584264667,0.9921977864264668
0.04,0.9942847833185422,0.04,0.004672,0.9545133919858004,0.9896394848108779,0.9919754848108779
0.042,0.9942847833185422,0.042,0.005143824000000001,0.9525248224191634,0.9891703573872734,0.9917422693872734
0.044,0.9942847833185422,0.044,0.005637631999999999,0.9505362528525263,0.9886793716069925,0.9914981876069925
0.046,0.9942847833185422,0.046,0.006153328,0.9485476832858892,0.9881666229213742,0.9912432869213743
0.048,0.9942847833185422,0.048,0.006690815999999999,0.9465591137192522,0.987632206781758,0.9909776147817579
0.05,0.9942847833185422,0.05,0.007250000000000001,0.9445705441526151,0.9870762186394828,0.9907012186394828
0.052000000000000005,0.9942847833185422,0.052000000000000005,0.007830784,0.9425819745859779,0.9864987539458878,0.9904141459458878
0.054,0.9942847833185422,0.054,0.008433071999999998,0.9405934050193409,0.9858999081523125,0.9901164441523126
0.056,0.9942847833185422,0.056,0.009056768000000001,0.9386048354527038,0.9852797767100959,0.9898081607100959
0.058,0.9942847833185422,0.058,0.009701776,0.9366162658860667,0.9846384550705771,0.9894893430705771
0.06,0.9942847833185422,0.06,0.010367999999999999,0.9346276963194297,0.9839760386850955,0.9891600386850955
0.062,0.9942847833185422,0.062,0.011055343999999998,0.9326391267527925,0.9832926230049903,0.9888202950049904
0.064,0.9942847833185422,0.064,0.011763712,0.9306505571861554,0.9825883034816004,0.9884701594816004
0.066,0.9942847833185422,0.066,0.012493008,0.9286619876195183,0.9818631755662655,0.9881096795662654
0.068,0.9942847833185422,0.068,0.013243136,0.9266734180528813,0.9811173347103241,0.9877389027103243
0.07,0.9942847833185422,0.07,0.014014,0.9246848484862442,0.9803508763651162,0.9873578763651162
0.07200000000000001,0.9942847833185422,0.07200000000000001,0.014805504000000002,0.9226962789196071,0.9795638959819803,0.9869666479819803
0.074,0.9942847833185422,0.074,0.015617551999999998,0.9207077093529701,0.9787564890122561,0.986565265012256
0.076,0.9942847833185422,0.076,0.016450048000000002,0.918719139786333,0.9779287509072825,0.9861537749072826
0.078,0.9942847833185422,0.078,0.017302896,0.916730570219696,0.9770807771183989,0.9857322251183989
0.08,0.9942847833185422,0.08,0.018176,0.9147420006530589,0.9762126630969444,0.9853006630969443
0.082,0.9942847833185422,0.082,0.019069264000000002,0.9127534310864218,0.9753245042942581,0.9848591362942583
0.084,0.9942847833185422,0.084,0.019982592000000004,0.9107648615197846,0.9744163961616794,0.9844076921616793
0.08600000000000001,0.9942847833185422,0.08600000000000001,0.020915888000000007,0.9087762919531476,0.9734884341505473,0.9839463781505473
0.088,0.9942847833185422,0.088,0.021869055999999994,0.9067877223865105,0.9725407137122012,0.983475241712201
0.09,0.9942847833185422,0.09,0.022842,0.9047991528198734,0.97157333029798,0.98299433029798
0.092,0.9942847833185422,0.092,0.023834624,0.9028105832532364,0.9705863793592232,0.9825036913592233
0.094,0.9942847833185422,0.094,0.024846832,0.9008220136865993,0.9695799563472699,0.9820033723472699
0.096,0.9942847833185422,0.096,0.025878528,0.8988334441199621,0.9685541567134593,0.9814934207134594
0.098,0.9942847833185422,0.098,0.026929616000000003,0.8968448745533251,0.9675090759091307,0.9809738839091307
0.1,0.9942847833185422,0.1,0.028000000000000008,0.894856304986688,0.9664448093856229,0.980444809385623
0.10200000000000001,0.9942847833185422,0.10200000000000001,0.029089584000000005,0.8928677354200509,0.9653614525942756,0.9799062445942756
0.10400000000000001,0.9942847833185422,0.10400000000000001,0.030198272000000005,0.8908791658534139,0.9642591009864278,0.9793582369864279
0.106,0.9942847833185422,0.106,0.031325968,0.8888905962867767,0.9631378500134187,0.9788008340134187
0.108,0.9942847833185422,0.108,0.032472575999999996,0.8869020267201396,0.9619977951265873,0.9782340831265872
0.11,0.9942847833185422,0.11,0.033638,0.8849134571535026,0.960839031777273,0.977658031777273
0.112,0.9942847833185422,0.112,0.034822144000000006,0.8829248875868655,0.959661655416815,0.9770727274168152
0.114,0.9942847833185422,0.114,0.036024912000000006,0.8809363180202284,0.9584657614965526,0.9764782174965526
0.116,0.9942847833185422,0.116,0.037246208,0.8789477484535914,0.9572514454678248,0.9758745494678249
0.11800000000000001,0.9942847833185422,0.11800000000000001,0.038485936000000005,0.8769591788869542,0.9560188027819708,0.975261770781971
