p,scheme,code_name,n,k,d,redundancy_r,q_L,P_corr,P_global_opt,P_group,P_fallback,P_success,C_total,eta,baseline_type
0.0,global_noQEC,global_noQEC,1,1,1,1.0,0.0,1.0,0.6947920446914665,0.9942847833185422,0.5,0.6947920446914665,1.9,0.3656800235218245,global_noQEC
0.0,group_noQEC,group_noQEC,1,1,1,1.0,0.0,1.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,2.9,0.3428568218339801,group_noQEC
0.0,rep3_toy,rep3_toy,3,1,1,3.0,0.0,1.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,8.6,0.11561450968820258,group_QEC
0.0,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,0.0,1.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,12.4,0.08018425671923728,group_QEC
0.0,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,0.0,1.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,16.2,0.06137560390855199,group_QEC
0.0,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.0,1.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,20.0,0.04971423916592711,group_QEC
0.0,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,0.0,1.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,23.799999999999997,0.04177667156800598,group_QEC
0.002,global_noQEC,global_noQEC,1,1,1,1.0,0.002,0.998,0.6947920446914665,0.9942847833185422,0.5,0.6942024606020836,1.9,0.36536971610635977,global_noQEC
0.002,group_noQEC,group_noQEC,1,1,1,1.0,0.002,0.998,0.6947920446914665,0.9942847833185422,0.5,0.9932962137519051,2.9,0.342515935776519,group_noQEC
0.002,rep3_toy,rep3_toy,3,1,1,3.0,1.1984e-05,0.999988016,0.6947920446914665,0.9942847833185422,0.5,0.994278859809699,8.6,0.11561382090810454,group_QEC
0.002,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,3.984023987202434e-05,0.999960159760128,0.6947920446914665,0.9942847833185422,0.5,0.9942650908942097,12.4,0.08018266862050077,group_QEC
0.002,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,8.344167731422214e-05,0.9999165583226858,0.6947920446914665,0.9942847833185422,0.5,0.9942435393671512,16.2,0.06137305798562662,group_QEC
0.002,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.00014266203189883253,0.9998573379681012,0.6947920446914665,0.9942847833185422,0.5,0.9942142676470174,20.0,0.04971071338235087,group_QEC
0.002,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,1.3042484090508566e-06,0.999998695751591,0.6947920446914665,0.9942847833185422,0.5,0.9942841386483999,23.799999999999997,0.041776644481025214,group_QEC
0.004,global_noQEC,global_noQEC,1,1,1,1.0,0.004,0.996,0.6947920446914665,0.9942847833185422,0.5,0.6936128765127006,1.9,0.3650594086908951,global_noQEC
0.004,group_noQEC,group_noQEC,1,1,1,1.0,0.004,0.996,0.6947920446914665,0.9942847833185422,0.5,0.9923076441852681,2.9,0.342175049719058,group_noQEC
0.004,rep3_toy,rep3_toy,3,1,1,3.0,4.7872e-05,0.999952128,0.6947920446914665,0.9942847833185422,0.5,0.9942611209173953,8.6,0.11561175824620876,group_QEC
0.004,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,0.00015872383590398442,0.999841276164096,0.6947920446914665,0.9942847833185422,0.5,0.9942063285417049,12.4,0.08017792972110523,group_QEC
0.004,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,0.00033154679412727983,0.9996684532058727,0.6947920446914665,0.9942847833185422,0.5,0.9941209047832471,16.2,0.06136548794958316,group_QEC
0.004,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.0005653442536208697,0.9994346557463791,0.6947920446914665,0.9942847833185422,0.5,0.9940053422566408,20.0,0.04970026711283204,group_QEC
0.004,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,1.0309379685491393e-05,0.9999896906203145,0.6947920446914665,0.9942847833185422,0.5,0.9942796875490382,23.799999999999997,0.041776457460043624,group_QEC
0.006,global_noQEC,global_noQEC,1,1,1,1.0,0.006,0.994,0.6947920446914665,0.9942847833185422,0.5,0.6930232924233176,1.9,0.36474910127543037,global_noQEC
0.006,group_noQEC,group_noQEC,1,1,1,1.0,0.006,0.994,0.6947920446914665,0.9942847833185422,0.5,0.9913190746186309,2.9,0.34183416366159686,group_noQEC
0.006,rep3_toy,rep3_toy,3,1,1,3.0,0.000107568,0.999892432,0.6947920446914665,0.9942847833185422,0.5,0.9942316140929702,8.6,0.11560832722011283,group_QEC
0.006,"[[5,1,3]]","[[5,1,3]]",5,1,3,5.0,0.00035569940889601526,0.999644300591104,0.6947920446914665,0.9942847833185422,0.5,0.9941089665132895,12.4,0.08017007794462012,group_QEC
0.006,"[[7,1,3]]","[[7,1,3]]",7,1,3,7.0,0.0007410154284472892,0.9992589845715527,0.6947920446914665,0.9942847833185422,0.5,0.9939185106680565,16.2,0.0613529944856825,group_QEC
0.006,"[[9,1,3]]","[[9,1,3]]",9,1,3,9.0,0.0012601979884311332,0.9987398020115689,0.6947920446914665,0.9942847833185422,0.5,0.993661886628892,20.0,0.0496830943314446,group_QEC
0.006,"[[11,1,5]]","[[11,1,5]]",11,1,5,11.0,3.4378300901249936e-05,0.9999656216990988,0.6947920446914665,0.9942847833185422,0.5,0.9942677906475303,23.799999999999997,0.04177595759023237,group_QEC
0.008,global_noQEC,global_noQEC,1,1,1,1.0,0.008,0.992,0.6947920446914665,0.9942847833185422,0.5,0.6924337083339347,1.9,0.36443879385996564,global_noQEC
0.008,group_noQEC,group_noQEC,1,1,1,1.0,0.008,0.992,0.6947920446914665,0.9942847833185422,0.5,0.9903305050519938,2.9,0.34149327760413584,group_noQEC
0.008,rep3_toy,rep3_toy,3,1,1,3.0,0.000190976,0.999809024,0.6947920446914665,0.9942847833185422,0.5,0.9941903867877633,8.6,0.11560353334741434,group_QEC
