q_base,deltaC_over_Cbase,threshold_qL,advantage_possible
0.0,0.0,0.0,False
0.0,0.01,-0.01,False
0.0,0.02,-0.02,False
0.0,0.03,-0.03,False
0.0,0.04,-0.04,False
0.0,0.05,-0.05,False
0.0,0.06,-0.06,False
0.0,0.07,-0.07,False
0.0,0.08,-0.08,False
0.0,0.09,-0.09,False
0.0,0.1,-0.1,False
0.0,0.11,-0.11,False
0.0,0.12,-0.12,False
0.0,0.13,-0.13,False
0.0,0.14,-0.14,False
0.0,0.15,-0.15,False
0.0,0.16,-0.16,False
0.0,0.17,-0.17,False
0.0,0.18,-0.18,False
0.0,0.19,-0.19,False
0.0,0.2,-0.2,False
0.0,0.21,-0.21,False
0.0,0.22,-0.22,False
0.0,0.23,-0.23,False
0.0,0.24,-0.24,False
0.0,0.25,-0.25,False
0.0,0.26,-0.26,False
0.0,0.27,-0.27,False
0.0,0.28,-0.28,False
0.0,0.29,-0.29,False
0.0,0.3,-0.3,False
0.0,0.31,-0.31,False
0.0,0.32,-0.32,False
0.0,0.33,-0.33,False
0.0,0.34,-0.34,False
0.0,0.35000000000000003,-0.35000000000000003,False
0.0,0.36,-0.36,False
0.0,0.37,-0.37,False
0.0,0.38,-0.38,False
0.0,0.39,-0.39,False
0.0,0.4,-0.4,False
0.0,0.41000000000000003,-0.41000000000000003,False
0.0,0.42,-0.42,False
0.0,0.43,-0.43,False
0.0,0.44,-0.44,False
0.0,0.45,-0.45,False
0.0,0.46,-0.46,False
0.0,0.47000000000000003,-0.47000000000000003,False
0.0,0.48,-0.48,False
0.0,0.49,-0.49,False
0.0,0.5,-0.5,False
0.0,0.51,-0.51,False
0.0,0.52,-0.52,False
0.0,0.53,-0.53,False
0.0,0.54,-0.54,False
0.0,0.55,-0.55,False
0.0,0.56,-0.56,False
0.0,0.5700000000000001,-0.5700000000000001,False
0.0,0.58,-0.58,False
0.0,0.59,-0.59,False
0.0,0.6,-0.6,False
0.0,0.61,-0.61,False
0.0,0.62,-0.62,False
0.0,0.63,-0.63,False
0.0,0.64,-0.64,False
0.0,0.65,-0.65,False
0.0,0.66,-0.66,False
0.0,0.67,-0.67,False
0.0,0.68,-0.68,False
0.0,0.6900000000000001,-0.6900000000000001,False
0.0,0.7000000000000001,-0.7000000000000001,False
0.0,0.71,-0.71,False
0.0,0.72,-0.72,False
0.0,0.73,-0.73,False
0.0,0.74,-0.74,False
0.0,0.75,-0.75,False
0.0,0.76,-0.76,False
0.0,0.77,-0.77,False
0.0,0.78,-0.78,False
0.0,0.79,-0.79,False
0.0,0.8,-0.8,False
0.0,0.81,-0.81,False
0.0,0.8200000000000001,-0.8200000000000001,False
0.0,0.8300000000000001,-0.8300000000000001,False
0.0,0.84,-0.84,False
0.0,0.85,-0.85,False
0.0,0.86,-0.86,False
0.0,0.87,-0.87,False
0.0,0.88,-0.88,False
0.0,0.89,-0.89,False
0.0,0.9,-0.9,False
0.0,0.91,-0.91,False
0.0,0.92,-0.92,False
0.0,0.93,-0.93,False
0.0,0.9400000000000001,-0.9400000000000001,False
0.0,0.9500000000000001,-0.9500000000000001,False
0.0,0.96,-0.96,False
0.0,0.97,-0.97,False
0.0,0.98,-0.98,False
0.0,0.99,-0.99,False
0.0,1.0,-1.0,False
0.0,1.01,-1.01,False
0.0,1.02,-1.02,False
0.0,1.03,-1.03,False
0.0,1.04,-1.04,False
0.0,1.05,-1.05,False
0.0,1.06,-1.06,False
0.0,1.07,-1.07,False
0.0,1.08,-1.08,False
0.0,1.09,-1.09,False
0.0,1.1,-1.1,False
0.0,1.11,-1.11,False
0.0,1.12,-1.12,False
0.0,1.1300000000000001,-1.1300000000000001,False
0.0,1.1400000000000001,-1.1400000000000001,False
0.0,1.1500000000000001,-1.1500000000000001,False
0.0,1.16,-1.16,False
0.0,1.17,-1.17,False
0.0,1.18,-1.18,False
0.0,1.19,-1.19,False
0.0,1.2,-1.2,False
0.0,1.21,-1.21,False
0.0,1.22,-1.22,False
0.0,1.23,-1.23,False
0.0,1.24,-1.24,False
0.0,1.25,-1.25,False
0.0,1.26,-1.26,False
0.0,1.27,-1.27,False
0.0,1.28,-1.28,False
0.0,1.29,-1.29,False
0.0,1.3,-1.3,False
0.0,1.31,-1.31,False
0.0,1.32,-1.32,False
0.0,1.33,-1.33,False
0.0,1.34,-1.34,False
0.0,1.35,-1.35,False
0.0,1.36,-1.36,False
0.0,1.37,-1.37,False
0.0,1.3800000000000001,-1.3800000000000001,False
0.0,1.3900000000000001,-1.3900000000000001,False
0.0,1.4000000000000001,-1.4000000000000001,False
0.0,1.41,-1.41,False
0.0,1.42,-1.42,False
0.0,1.43,-1.43,False
0.0,1.44,-1.44,False
0.0,1.45,-1.45,False
0.0,1.46,-1.46,False
0.0,1.47,-1.47,False
0.0,1.48,-1.48,False
0.0,1.49,-1.49,False
0.0,1.5,-1.5,False
0.0,1.51,-1.51,False
0.0,1.52,-1.52,False
0.0,1.53,-1.53,False
0.0,1.54,-1.54,False
0.0,1.55,-1.55,False
0.0,1.56,-1.56,False
0.0,1.57,-1.57,False
0.0,1.58,-1.58,False
0.0,1.59,-1.59,False
0.0,1.6,-1.6,False
0.0,1.61,-1.61,False
0.0,1.62,-1.62,False
0.0,1.6300000000000001,-1.6300000000000001,False
0.0,1.6400000000000001,-1.6400000000000001,False
0.0,1.6500000000000001,-1.6500000000000001,False
0.0,1.6600000000000001,-1.6600000000000001,False
0.0,1.67,-1.67,False
0.0,1.68,-1.68,False
0.0,1.69,-1.69,False
0.0,1.7,-1.7,False
0.0,1.71,-1.71,False
0.0,1.72,-1.72,False
0.0,1.73,-1.73,False
0.0,1.74,-1.74,False
0.0,1.75,-1.75,False
0.0,1.76,-1.76,False
0.0,1.77,-1.77,False
0.0,1.78,-1.78,False
0.0,1.79,-1.79,False
0.0,1.8,-1.8,False
0.0,1.81,-1.81,False
0.0,1.82,-1.82,False
0.0,1.83,-1.83,False
0.0,1.84,-1.84,False
0.0,1.85,-1.85,False
0.0,1.86,-1.86,False
0.0,1.87,-1.87,False
0.0,1.8800000000000001,-1.8800000000000001,False
0.0,1.8900000000000001,-1.8900000000000001,False
0.0,1.9000000000000001,-1.9000000000000001,False
0.0,1.9100000000000001,-1.9100000000000001,False
0.0,1.92,-1.92,False
0.0,1.93,-1.93,False
0.0,1.94,-1.94,False
0.0,1.95,-1.95,False
0.0,1.96,-1.96,False
0.0,1.97,-1.97,False
0.0,1.98,-1.98,False
0.0,1.99,-1.99,False
0.0,2.0,-2.0,False
0.002,0.0,0.002,True
0.002,0.01,-0.007980000000000001,False
0.002,0.02,-0.017960000000000004,False
0.002,0.03,-0.02794,False
0.002,0.04,-0.03792,False
0.002,0.05,-0.0479,False
0.002,0.06,-0.057879999999999994,False
0.002,0.07,-0.06786,False
0.002,0.08,-0.07784,False
0.002,0.09,-0.08782,False
0.002,0.1,-0.0978,False
0.002,0.11,-0.10778,False
0.002,0.12,-0.11775999999999999,False
0.002,0.13,-0.12774,False
0.002,0.14,-0.13772,False
0.002,0.15,-0.1477,False
0.002,0.16,-0.15768000000000001,False
0.002,0.17,-0.16766,False
0.002,0.18,-0.17764,False
0.002,0.19,-0.18762,False
0.002,0.2,-0.1976,False
0.002,0.21,-0.20758,False
0.002,0.22,-0.21756,False
0.002,0.23,-0.22754000000000002,False
0.002,0.24,-0.23751999999999998,False
0.002,0.25,-0.2475,False
0.002,0.26,-0.25748,False
0.002,0.27,-0.26746000000000003,False
0.002,0.28,-0.27744,False
0.002,0.29,-0.28741999999999995,False
0.002,0.3,-0.2974,False
0.002,0.31,-0.30738,False
0.002,0.32,-0.31736000000000003,False
0.002,0.33,-0.32734,False
0.002,0.34,-0.33732,False
0.002,0.35000000000000003,-0.34730000000000005,False
0.002,0.36,-0.35728,False
0.002,0.37,-0.36726,False
0.002,0.38,-0.37724,False
0.002,0.39,-0.38722,False
0.002,0.4,-0.3972,False
0.002,0.41000000000000003,-0.40718000000000004,False
0.002,0.42,-0.41716,False
0.002,0.43,-0.42713999999999996,False
0.002,0.44,-0.43712,False
0.002,0.45,-0.4471,False
0.002,0.46,-0.45708000000000004,False
0.002,0.47000000000000003,-0.46706000000000003,False
0.002,0.48,-0.47703999999999996,False
0.002,0.49,-0.48702,False
0.002,0.5,-0.497,False
0.002,0.51,-0.50698,False
0.002,0.52,-0.51696,False
0.002,0.53,-0.5269400000000001,False
0.002,0.54,-0.5369200000000001,False
0.002,0.55,-0.5469,False
0.002,0.56,-0.55688,False
0.002,0.5700000000000001,-0.56686,False
0.002,0.58,-0.5768399999999999,False
0.002,0.59,-0.58682,False
0.002,0.6,-0.5968,False
0.002,0.61,-0.60678,False
0.002,0.62,-0.61676,False
0.002,0.63,-0.62674,False
0.002,0.64,-0.6367200000000001,False
0.002,0.65,-0.6467,False
0.002,0.66,-0.65668,False
0.002,0.67,-0.66666,False
0.002,0.68,-0.67664,False
0.002,0.6900000000000001,-0.68662,False
0.002,0.7000000000000001,-0.6966000000000001,False
0.002,0.71,-0.70658,False
0.002,0.72,-0.71656,False
0.002,0.73,-0.72654,False
0.002,0.74,-0.73652,False
0.002,0.75,-0.7464999999999999,False
0.002,0.76,-0.75648,False
0.002,0.77,-0.76646,False
0.002,0.78,-0.77644,False
0.002,0.79,-0.78642,False
0.002,0.8,-0.7964,False
0.002,0.81,-0.8063800000000001,False
0.002,0.8200000000000001,-0.8163600000000001,False
0.002,0.8300000000000001,-0.8263400000000001,False
0.002,0.84,-0.83632,False
0.002,0.85,-0.8462999999999999,False
0.002,0.86,-0.8562799999999999,False
0.002,0.87,-0.86626,False
0.002,0.88,-0.87624,False
0.002,0.89,-0.88622,False
0.002,0.9,-0.8962,False
0.002,0.91,-0.90618,False
0.002,0.92,-0.9161600000000001,False
0.002,0.93,-0.9261400000000001,False
0.002,0.9400000000000001,-0.9361200000000001,False
0.002,0.9500000000000001,-0.9461,False
0.002,0.96,-0.9560799999999999,False
0.002,0.97,-0.9660599999999999,False
0.002,0.98,-0.97604,False
0.002,0.99,-0.98602,False
0.002,1.0,-0.996,False
0.002,1.01,-1.00598,False
0.002,1.02,-1.01596,False
0.002,1.03,-1.02594,False
0.002,1.04,-1.03592,False
0.002,1.05,-1.0459,False
0.002,1.06,-1.0558800000000002,False
0.002,1.07,-1.06586,False
0.002,1.08,-1.0758400000000001,False
0.002,1.09,-1.08582,False
0.002,1.1,-1.0958,False
0.002,1.11,-1.10578,False
0.002,1.12,-1.11576,False
0.002,1.1300000000000001,-1.1257400000000002,False
0.002,1.1400000000000001,-1.13572,False
0.002,1.1500000000000001,-1.1457000000000002,False
0.002,1.16,-1.1556799999999998,False
0.002,1.17,-1.16566,False
0.002,1.18,-1.17564,False
0.002,1.19,-1.18562,False
0.002,1.2,-1.1956,False
0.002,1.21,-1.2055799999999999,False
0.002,1.22,-1.21556,False
0.002,1.23,-1.22554,False
0.002,1.24,-1.23552,False
0.002,1.25,-1.2455,False
0.002,1.26,-1.25548,False
0.002,1.27,-1.26546,False
0.002,1.28,-1.2754400000000001,False
0.002,1.29,-1.28542,False
0.002,1.3,-1.2954,False
0.002,1.31,-1.30538,False
0.002,1.32,-1.31536,False
0.002,1.33,-1.32534,False
0.002,1.34,-1.33532,False
0.002,1.35,-1.3453000000000002,False
0.002,1.36,-1.35528,False
0.002,1.37,-1.3652600000000001,False
0.002,1.3800000000000001,-1.37524,False
0.002,1.3900000000000001,-1.3852200000000001,False
0.002,1.4000000000000001,-1.3952000000000002,False
0.002,1.41,-1.4051799999999999,False
0.002,1.42,-1.41516,False
0.002,1.43,-1.4251399999999999,False
0.002,1.44,-1.43512,False
0.002,1.45,-1.4451,False
0.002,1.46,-1.45508,False
0.002,1.47,-1.46506,False
0.002,1.48,-1.47504,False
0.002,1.49,-1.48502,False
0.002,1.5,-1.4949999999999999,False
0.002,1.51,-1.50498,False
0.002,1.52,-1.51496,False
0.002,1.53,-1.52494,False
0.002,1.54,-1.53492,False
0.002,1.55,-1.5449,False
0.002,1.56,-1.55488,False
0.002,1.57,-1.5648600000000001,False
0.002,1.58,-1.57484,False
0.002,1.59,-1.5848200000000001,False
0.002,1.6,-1.5948,False
0.002,1.61,-1.60478,False
0.002,1.62,-1.6147600000000002,False
0.002,1.6300000000000001,-1.62474,False
0.002,1.6400000000000001,-1.6347200000000002,False
0.002,1.6500000000000001,-1.6447,False
0.002,1.6600000000000001,-1.6546800000000002,False
0.002,1.67,-1.66466,False
0.002,1.68,-1.67464,False
0.002,1.69,-1.68462,False
0.002,1.7,-1.6945999999999999,False
0.002,1.71,-1.70458,False
0.002,1.72,-1.7145599999999999,False
0.002,1.73,-1.72454,False
0.002,1.74,-1.73452,False
0.002,1.75,-1.7445,False
0.002,1.76,-1.75448,False
0.002,1.77,-1.76446,False
0.002,1.78,-1.77444,False
0.002,1.79,-1.7844200000000001,False
0.002,1.8,-1.7944,False
0.002,1.81,-1.80438,False
0.002,1.82,-1.81436,False
0.002,1.83,-1.82434,False
0.002,1.84,-1.8343200000000002,False
0.002,1.85,-1.8443,False
0.002,1.86,-1.8542800000000002,False
0.002,1.87,-1.86426,False
0.002,1.8800000000000001,-1.8742400000000001,False
0.002,1.8900000000000001,-1.8842200000000002,False
0.002,1.9000000000000001,-1.8942,False
0.002,1.9100000000000001,-1.9041800000000002,False
0.002,1.92,-1.9141599999999999,False
0.002,1.93,-1.92414,False
0.002,1.94,-1.9341199999999998,False
0.002,1.95,-1.9441,False
0.002,1.96,-1.95408,False
0.002,1.97,-1.96406,False
0.002,1.98,-1.97404,False
0.002,1.99,-1.98402,False
0.002,2.0,-1.994,False
0.004,0.0,0.004,True
0.004,0.01,-0.00596,False
0.004,0.02,-0.01592,False
0.004,0.03,-0.02588,False
0.004,0.04,-0.03584,False
0.004,0.05,-0.04580000000000001,False
0.004,0.06,-0.055760000000000004,False
0.004,0.07,-0.06572,False
0.004,0.08,-0.07568,False
0.004,0.09,-0.08564,False
0.004,0.1,-0.0956,False
0.004,0.11,-0.10556,False
0.004,0.12,-0.11552,False
0.004,0.13,-0.12548,False
0.004,0.14,-0.13544,False
0.004,0.15,-0.1454,False
0.004,0.16,-0.15536,False
0.004,0.17,-0.16532,False
0.004,0.18,-0.17528,False
0.004,0.19,-0.18524,False
0.004,0.2,-0.1952,False
0.004,0.21,-0.20515999999999998,False
0.004,0.22,-0.21512,False
0.004,0.23,-0.22508,False
0.004,0.24,-0.23504,False
0.004,0.25,-0.245,False
0.004,0.26,-0.25496,False
0.004,0.27,-0.26492,False
0.004,0.28,-0.27488,False
0.004,0.29,-0.28484,False
0.004,0.3,-0.2948,False
0.004,0.31,-0.30476,False
0.004,0.32,-0.31472,False
0.004,0.33,-0.32468,False
0.004,0.34,-0.33464,False
0.004,0.35000000000000003,-0.3446,False
0.004,0.36,-0.35456,False
0.004,0.37,-0.36452,False
0.004,0.38,-0.37448,False
0.004,0.39,-0.38444,False
0.004,0.4,-0.39440000000000003,False
0.004,0.41000000000000003,-0.40436000000000005,False
0.004,0.42,-0.41431999999999997,False
0.004,0.43,-0.42428,False
0.004,0.44,-0.43424,False
0.004,0.45,-0.4442,False
0.004,0.46,-0.45416,False
0.004,0.47000000000000003,-0.46412000000000003,False
0.004,0.48,-0.47408,False
0.004,0.49,-0.48403999999999997,False
0.004,0.5,-0.494,False
0.004,0.51,-0.50396,False
0.004,0.52,-0.51392,False
0.004,0.53,-0.52388,False
0.004,0.54,-0.53384,False
0.004,0.55,-0.5438000000000001,False
0.004,0.56,-0.55376,False
0.004,0.5700000000000001,-0.5637200000000001,False
0.004,0.58,-0.57368,False
0.004,0.59,-0.5836399999999999,False
0.004,0.6,-0.5936,False
0.004,0.61,-0.60356,False
0.004,0.62,-0.61352,False
0.004,0.63,-0.62348,False
0.004,0.64,-0.63344,False
0.004,0.65,-0.6434,False
0.004,0.66,-0.65336,False
0.004,0.67,-0.66332,False
0.004,0.68,-0.67328,False
0.004,0.6900000000000001,-0.6832400000000001,False
0.004,0.7000000000000001,-0.6932,False
0.004,0.71,-0.70316,False
0.004,0.72,-0.71312,False
0.004,0.73,-0.72308,False
