M,source_type,source_param,seed,w_A_over_w_L,w_Q_over_w_L,w_D_over_w_L,w_M_over_w_L,w_G_over_w_L,C_total_w,C_base_w,eta_w,M_res_w,positive_resource_margin_w,result_type
4,zipf,0.2,1042,0.0,0.0,0.0,0.01,0.002,2.168,2.104,0.45960636101348906,-0.033991660273325786,False,approximate
4,zipf,0.2,1042,0.0,0.0,0.01,0.01,0.002,2.3280000000000003,2.184,0.428018294964452,-0.06950747525682133,False,approximate
4,zipf,0.2,1042,0.0,0.0,0.03,0.01,0.002,2.648,2.3440000000000003,0.37629402971195025,-0.13326624208726046,False,approximate
4,zipf,0.2,1042,0.0,0.0,0.06,0.01,0.002,3.128,2.584,0.3185507003443876,-0.21409972511222908,False,approximate
4,zipf,0.2,1042,0.0,0.0,0.1,0.01,0.002,3.7680000000000002,2.904,0.2644444242774003,-0.3010940704797803,False,approximate
4,zipf,0.2,1042,0.0,0.25,0.0,0.01,0.002,3.918,2.104,0.25432021201563154,-0.8657407097029833,False,approximate
4,zipf,0.2,1042,0.0,0.25,0.01,0.01,0.002,4.078,2.184,0.24434197907730365,-0.8707895265388724,False,approximate
4,zipf,0.2,1042,0.0,0.25,0.03,0.01,0.002,4.398000000000001,2.3440000000000003,0.22656357223220652,-0.879853272803984,False,approximate
4,zipf,0.2,1042,0.0,0.25,0.06,0.01,0.002,4.878,2.584,0.20426949378377293,-0.8913443071555726,False,approximate
4,zipf,0.2,1042,0.0,0.25,0.1,0.01,0.002,5.518,2.904,0.18057749015535418,-0.9037111503695873,False,approximate
4,zipf,0.2,1042,0.0,0.5,0.0,0.01,0.002,5.668,2.104,0.17579862220840584,-1.6974897591326408,False,approximate
4,zipf,0.2,1042,0.0,0.5,0.01,0.01,0.002,5.828,2.184,0.17097230450879278,-1.6720715778209234,False,approximate
4,zipf,0.2,1042,0.0,0.5,0.03,0.01,0.002,6.148000000000001,2.3440000000000003,0.16207329061113276,-1.626440303520707,False,approximate
4,zipf,0.2,1042,0.0,0.5,0.06,0.01,0.002,6.628,2.584,0.15033593703639775,-1.568588889198916,False,approximate
4,zipf,0.2,1042,0.0,0.5,0.1,0.01,0.002,7.268,2.904,0.1370977697684706,-1.506328230259394,False,approximate
4,zipf,0.2,1042,0.0,1.0,0.0,0.01,0.002,9.168,2.104,0.10868527385222998,-3.3609878579919554,False,approximate
4,zipf,0.2,1042,0.0,1.0,0.01,0.01,0.002,9.328,2.184,0.10682103244824662,-3.2746356803850256,False,approximate
