M,source_type,source_param,seed,probabilities,huffman_lengths,Lbar,support_overlap_shift,grouping_strategy,groups,payload_generation_mode,P_group_lower,P_fix_upper,P_group_sdp,P_fix_sdp,C_Huff,C_fix,M_cert,dual_feasibility_residual,primal_feasibility_residual,positive_certificate,decoding_method,result_type
4,zipf,0.8,7480,0.43113301;0.24762089;0.17902524;0.14222085,1;2;3;3,1.8901130872330654,0,random,"0,2|1,3",optimized,0.966480361022725,0.8657597712947546,0.966540735701954,0.8656983966155256,2.8901130872330656,2,-0.09847070100608929,1.2074935845790493e-05,5.22301085785875e-08,False,exact_sdp,exact
4,zipf,0.8,7480,0.43113301;0.24762089;0.17902524;0.14222085,1;2;3;3,1.8901130872330654,0,overlap_aware,"0|1,2,3",optimized,0.9393959799158,0.8657597712947546,0.939456354595029,0.8656983966155256,2.8901130872330656,2,-0.10784209246705634,1.2074935845790493e-05,5.22301085785875e-08,False,exact_sdp,exact
4,zipf,0.8,7480,0.43113301;0.24762089;0.17902524;0.14222085,1;2;3;3,1.8901130872330654,1,random,"0,2|1,3",optimized,0.9999526657337842,0.9797798369538634,0.9999999987838637,0.9797315039037838,2.8901130872330656,2,-0.14389907467534258,9.466610015912086e-06,4.1515809972866846e-08,False,exact_sdp,exact
4,zipf,0.8,7480,0.43113301;0.24762089;0.17902524;0.14222085,1;2;3;3,1.8901130872330654,1,overlap_aware,"0|1,2,3",optimized,0.9999526669499205,0.9797798369538634,1.0,0.9797315039037838,2.8901130872330656,2,-0.14389907425455062,9.466610015912086e-06,4.1515809972866846e-08,False,exact_sdp,exact
4,zipf,0.8,7511,0.43113301;0.24762089;0.17902524;0.14222085,1;2;3;3,1.8901130872330654,0,random,"2,3|0,1",optimized,0.9999420085407186,0.8918248086791645,0.9999998264310328,0.8917659907888502,2.8901130872330656,2,-0.0999252480037579,1.1563578062845728e-05,4.6793450578619845e-08,False,exact_sdp,exact
4,zipf,0.8,7511,0.43113301;0.24762089;0.17902524;0.14222085,1;2;3;3,1.8901130872330654,0,overlap_aware,"0|1,2,3",optimized,0.9394036358447833,0.891819709539094,0.939456354595027,0.8917659907888502,2.8901130872330656,2,-0.12086941258250827,1.054375004873644e-05,4.6793450578619845e-08,False,exact_sdp,exact
4,zipf,0.8,7511,0.43113301;0.24762089;0.17902524;0.14222085,1;2;3;3,1.8901130872330654,1,random,"2,3|0,1",optimized,0.9796728601730851,0.9797942687709734,0.9797346250402732,0.9797315039037853,2.8901130872330656,2,-0.15092324976458987,1.2352973437626175e-05,4.1515810325954615e-08,False,exact_sdp,exact
4,zipf,0.8,7511,0.43113301;0.24762089;0.17902524;0.14222085,1;2;3;3,1.8901130872330654,1,overlap_aware,"0|1,2,3",optimized,0.9999526669499144,0.9797798369538709,1.0,0.9797315039037853,2.8901130872330656,2,-0.1438990742545565,9.466610017119162e-06,4.1515810325954615e-08,False,exact_sdp,exact
4,zipf,1.8,7580,0.6631043;0.19042671;0.091783283;0.054685711,1;2;3;3,1.4833646919639965,0,random,"1,2|0,3",optimized,0.9645429789090816,0.9384824573233799,0.964590561051945,0.9384338751805165,2.4833646919639962,2,-0.08083956456850266,9.516428572679578e-06,3.318413637222162e-08,False,exact_sdp,exact
4,zipf,1.8,7580,0.6631043;0.19042671;0.091783283;0.054685711,1;2;3;3,1.4833646919639965,0,overlap_aware,"0|1,2,3",optimized,0.9645514477512944,0.9384743783372409,0.9645909509080188,0.9384338751805165,2.4833646919639962,2,-0.0808321148464643,7.900631344884977e-06,3.318413637222162e-08,False,exact_sdp,exact
