M,s,entropy,Lbar,n_fix,G_comp,eta_Huff,eta_fix,P_full,P_fix,C_A,C_QEC,P_group_Huff,P_group_fix,baseline_type
8,0.0,3.0,3.0,3,0.0,0.07050824561789772,0.07050824561789772,0.7755907017968748,0.7755907017968748,1,7.0,0.8,0.8,fixed_length_grouped
8,0.1,2.9967706826474876,3.0,3,0.0,0.07051292137319698,0.07051105107107727,0.7756421351051668,0.77562156178185,1,7.0,0.8000538219558753,0.8000322931735252,fixed_length_grouped
8,0.2,2.9866758142963876,3.0,3,0.0,0.07052753781656117,0.0705198209370958,0.7758029159821729,0.7757180303080538,1,7.0,0.8002220697617269,0.8001332418570362,fixed_length_grouped
8,0.30000000000000004,2.9691614649918847,3.0000000000000004,3,-4.440892098500626e-16,0.07055289698775255,0.07053503643981061,0.776081866865278,0.7758854008379168,1,7.0,0.8005139755834686,0.8003083853500812,fixed_length_grouped
8,0.4,2.9437736377303043,2.9783879855313993,3,0.021612014468600727,0.07080386793097847,0.07055709198683129,0.7773123330226059,0.7761280118551441,1,7.0,0.8018015866165723,0.800562263622697,fixed_length_grouped
8,0.5,2.9101879590670157,2.938582633425918,3,0.06141736657408181,0.07124952369985146,0.07058626937595354,0.7793688025830636,0.776448963135489,1,7.0,0.8039535620118464,0.8008981204093298,fixed_length_grouped
8,0.6000000000000001,2.8682357998811776,2.89785551599768,3,0.10214448400232001,0.07171995977841385,0.07062271510287649,0.7815937592783191,0.7768498661316414,1,7.0,0.8062818493620733,0.8013176420011883,fixed_length_grouped
8,0.7000000000000001,2.817924275735508,2.854706376176778,3,0.14529362382322208,0.07223082869321543,0.07066642298599085,0.7840444367727781,0.7773306528458994,1,7.0,0.8088463403573372,0.801820757242645,fixed_length_grouped
8,0.8,2.7594478834159517,2.7960487561691467,3,0.20395124383085328,0.07291722944620138,0.07071722405719381,0.7872179642659627,0.7778894646291319,1,7.0,0.8121672516963016,0.8024055211658405,fixed_length_grouped
8,0.9,2.693190177532168,2.738181903010852,3,0.26181809698914815,0.0736144353785639,0.07077478510535068,0.7904851977824565,0.7785226361588575,1,7.0,0.8155862209206964,0.8030680982246784,fixed_length_grouped
8,1.0,2.6197148131073638,2.6815593517301797,3,0.3184406482698203,0.07431684809103307,0.07083861645799995,0.7938198237178855,0.7792247810379995,1,7.0,0.8190757123790036,0.8038028518689264,fixed_length_grouped
8,1.1,2.539746349227471,2.588094311044479,3,0.41190568895552104,0.07543058625257587,0.07090808865808632,0.7986661611796484,0.7799889752389495,1,7.0,0.824147121737763,0.8046025365077253,fixed_length_grouped
8,1.2000000000000002,2.454142259047365,2.489688226959699,3,0.5103117730403008,0.07662678910068041,0.07098245678012673,0.8037911274991312,0.7808070245813941,1,7.0,0.8295100999374894,0.8054585774095264,fixed_length_grouped
8,1.3,2.363858454821199,2.393572449583071,3,0.606427550416929,0.07782724227300682,0.07106089038016661,0.8089030811157507,0.7816697941818327,1,7.0,0.8348594611029906,0.8063614154517881,fixed_length_grouped
8,1.4000000000000001,2.269911181558916,2.3003368390630854,3,0.6996631609369146,0.0790229777674963,0.07114250660047375,0.8139632890310053,0.7825675726052113,1,7.0,0.8401546734114946,0.8073008881844109,fixed_length_grouped
8,1.5,2.1733382926829776,2.2086077969616023,3,0.7913922030383977,0.0802271713389131,0.0712264038111165,0.8190077268586027,0.7834904419222815,1,7.0,0.8454333832434864,0.8082666170731703,fixed_length_grouped
8,1.6,2.0751627042059155,2.11104550684097,3,0.8889544931590301,0.08152477060091656,0.07131169335896273,0.8243006654806382,0.7844286269485901,1,7.0,0.8509721346562626,0.8092483729579409,fixed_length_grouped
8,1.7000000000000002,1.9763603049223422,2.0189039351180216,3,0.9810960648819784,0.08278314543435221,0.07139752744553905,0.8293963815536789,0.7853728019009296,1,7.0,0.8563045041799068,0.8102363969507766,fixed_length_grouped
8,1.8,1.8778338950673747,1.9310964893130511,3,1.0689035106869489,0.08401106885236823,0.0714831217676898,0.8343220309431911,0.7863143394445877,1,7.0,0.8614589088430218,0.8112216610493262,fixed_length_grouped
8,1.9000000000000001,1.7803939625574194,1.846441282203839,3,1.153558717796161,0.08521960963796082,0.0715677722181211,0.8391098823925136,0.7872454943993321,1,7.0,0.8664691160025562,0.8121960603744258,fixed_length_grouped
8,2.0,1.684746396623144,1.768287421282692,3,1.231712578717308,0.08636321168035746,0.07165086555912037,0.8436206743188104,0.7881595211503241,1,7.0,0.8711893965383066,0.8131525360337686,fixed_length_grouped
16,0.0,4.0,4.0,4,0.0,0.05966082321514422,0.05966082321514422,0.7755907017968748,0.7755907017968748,2,7.0,0.8,0.8,fixed_length_grouped
